ts_code,symbol,name,k,d,j,簇
600278.SH,600278,东方创业,60.17560571009572,46.81843106062132,86.88995500904451,2.0
600279.SH,600279,重庆港,56.0016277634175,40.37615890713992,87.25256547597266,2.0
600280.SH,600280,中央商场,34.3473319652783,30.133179570631476,42.77563675457196,1.0
600281.SH,600281,华阳新材,63.38128459023059,49.14053653111967,91.86278070845243,2.0
600282.SH,600282,南钢股份,80.95937666464317,67.21807416023796,108.4419816734536,0.0
600283.SH,600283,钱江水利,40.440000610951,28.35026654697782,64.61946873889737,1.0
600284.SH,600284,浦东建设,48.668135093776726,40.04099552435727,65.92241423261564,1.0
600285.SH,600285,羚锐制药,78.04602592464224,62.15873087990892,109.82061601410888,0.0
600287.SH,600287,江苏舜天,58.44423679866734,49.91294019898061,75.50682999804081,2.0
600288.SH,600288,大恒科技,75.02395171568713,55.82230044414744,113.42725425876652,0.0
600292.SH,600292,远达环保,78.68864968977383,59.09209994831529,117.8817491726909,0.0
600293.SH,600293,三峡新材,63.27517948819125,43.27586797132332,103.27380252192712,2.0
600295.SH,600295,鄂尔多斯,80.37894721253843,65.05185597832502,111.03312968096526,0.0
600297.SH,600297,广汇汽车,68.26875546704241,54.843972716536015,95.1183209680552,2.0
600298.SH,600298,安琪酵母,82.83840327218766,75.61820698407092,97.27879584842114,0.0
600299.SH,600299,安迪苏,61.003541767523046,49.93846109688331,83.13370310880252,2.0
600300.SH,600300,维维股份,56.05018843164604,42.43758070445771,83.27540388602272,2.0
600302.SH,600302,标准股份,62.72426259815859,50.059451077385525,88.05388563970472,2.0
600303.SH,600303,曙光股份,68.76192522490551,47.5595763849588,111.16662290479894,2.0
600305.SH,600305,恒顺醋业,70.4140676919394,59.63847093785355,91.96526120011109,2.0
600307.SH,600307,酒钢宏兴,60.3112806432268,53.3778124634456,74.1782170027892,2.0
600308.SH,600308,华泰股份,77.18557466695836,59.32804345370306,112.90063709346896,0.0
600309.SH,600309,万华化学,88.51206619479835,83.43278017100302,98.670638242389,0.0
600310.SH,600310,桂东电力,76.20616275487592,59.393615426512326,109.8312574116031,0.0
600312.SH,600312,平高电气,78.28317331278461,63.88333314785277,107.0828536426483,0.0
600313.SH,600313,农发种业,59.71370723132444,41.7754280264743,95.5902656410247,2.0
600315.SH,600315,上海家化,87.66204219269952,84.61603226814817,93.7540620418022,0.0
600316.SH,600316,洪都航空,71.8275101683987,58.33896475215058,98.80460100089496,0.0
600320.SH,600320,振华重工,77.77599671344358,57.786473164048,117.7550438122347,0.0
600321.SH,600321,正源股份,66.6497400711857,60.19188499718846,79.56545021918019,2.0
600322.SH,600322,天房发展,57.17022228280234,40.44847213106138,90.61372258628428,2.0
600323.SH,600323,瀚蓝环境,85.9765663334486,78.43711877421885,101.05546145190812,0.0
600325.SH,600325,华发股份,81.28174593795642,80.48039614445699,82.88444552495525,0.0
600326.SH,600326,西藏天路,75.56898571370465,56.43544563347527,113.8360658741634,0.0
600327.SH,600327,大东方,82.74431448327243,75.27299728591481,97.68694887798767,0.0
