"ts_code","symbol","name","area","industry","fullname","market","list_date"
"600118.SH","600118","中国卫星","北京","航空","中国东方红卫星股份有限公司","主板","19970908"
"600119.SH","600119","长江投资","上海","仓储物流","长发集团长江投资实业股份有限公司","主板","19980115"
"600120.SH","600120","浙江东方","浙江","多元金融","浙江东方金融控股集团股份有限公司","主板","19971201"
"600121.SH","600121","郑州煤电","河南","煤炭开采","郑州煤电股份有限公司","主板","19980107"
"600122.SH","600122","ST宏图","江苏","其他商业","江苏宏图高科技股份有限公司","主板","19980420"
"600123.SH","600123","兰花科创","山西","煤炭开采","山西兰花科技创业股份有限公司","主板","19981217"
"600125.SH","600125","铁龙物流","辽宁","铁路","中铁铁龙集装箱物流股份有限公司","主板","19980511"
"600126.SH","600126","杭钢股份","浙江","普钢","杭州钢铁股份有限公司","主板","19980311"
"600127.SH","600127","金健米业","湖南","农业综合","金健米业股份有限公司","主板","19980506"
"600128.SH","600128","弘业股份","江苏","商贸代理","江苏弘业股份有限公司","主板","19970901"
"600129.SH","600129","太极集团","重庆","中成药","重庆太极实业(集团)股份有限公司","主板","19971118"
"600130.SH","600130","波导股份","浙江","通信设备","宁波波导股份有限公司","主板","20000706"
"600131.SH","600131","国网信通","四川","通信设备","国网信息通信股份有限公司","主板","19980402"
"600132.SH","600132","重庆啤酒","重庆","啤酒","重庆啤酒股份有限公司","主板","19971030"
"600133.SH","600133","东湖高新","湖北","园区开发","武汉东湖高新集团股份有限公司","主板","19980212"
"600135.SH","600135","乐凯胶片","河北","化工原料","乐凯胶片股份有限公司","主板","19980122"
"600136.SH","600136","当代文体","湖北","影视音像","武汉当代明诚文化体育集团股份有限公司","主板","19980303"
"600137.SH","600137","浪莎股份","四川","服饰","四川浪莎控股股份有限公司","主板","19980416"
"600138.SH","600138","中青旅","北京","旅游服务","中青旅控股股份有限公司","主板","19971203"
"600139.SH","600139","ST西源","四川","综合类","四川西部资源控股股份有限公司","主板","19980225"
"600141.SH","600141","兴发集团","湖北","化工原料","湖北兴发化工集团股份有限公司","主板","19990616"
"600143.SH","600143","金发科技","广东","塑料","金发科技股份有限公司","主板","20040623"
"600145.SH","600145","退新亿","","","新疆亿路万源实业控股股份有限公司","主板","19990923"
"600146.SH","600146","*ST环球","宁夏","服饰","商赢环球股份有限公司","主板","19990707"
"600148.SH","600148","长春一东","吉林","汽车配件","长春一东离合器股份有限公司","主板","19980520"
"600149.SH","600149","廊坊发展","河北","综合类","廊坊发展股份有限公司","主板","19991014"
"600150.SH","600150","中国船舶","上海","船舶","中国船舶工业股份有限公司","主板","19980520"
"600151.SH","600151","航天机电","上海","汽车配件","上海航天汽车机电股份有限公司","主板","19980605"
"600152.SH","600152","维科技术","浙江","电气设备","维科技术股份有限公司","主板","19980609"
"600153.SH","600153","建发股份","福建","仓储物流","厦门建发股份有限公司","主板","19980616"
"600155.SH","600155","华创阳安","北京","证券","华创阳安股份有限公司","主板","19980918"
"600156.SH","600156","华升股份","湖南","纺织","湖南华升股份有限公司","主板","19980527"
"600157.SH","600157","永泰能源","山西","火力发电","永泰能源股份有限公司","主板","19980513"
"600158.SH","600158","中体产业","天津","文教休闲","中体产业集团股份有限公司","主板","19980327"
"600159.SH","600159","大龙地产","北京","区域地产","北京市大龙伟业房地产开发股份有限公司","主板","19980526"
"600160.SH","600160","巨化股份","浙江","化工原料","浙江巨化股份有限公司","主板","19980626"
"600161.SH","600161","天坛生物","北京","生物制药","北京天坛生物制品股份有限公司","主板","19980616"
"600162.SH","600162","香江控股","深圳","全国地产","深圳香江控股股份有限公司","主板","19980609"
"600163.SH","600163","中闽能源","福建","新型电力","中闽能源股份有限公司","主板","19980602"
"600165.SH","600165","新日恒力","宁夏","化工原料","宁夏新日恒力钢丝绳股份有限公司","主板","19980529"
"600166.SH","600166","福田汽车","北京","汽车整车","北汽福田汽车股份有限公司","主板","19980602"
"600167.SH","600167","联美控股","辽宁","供气供热","联美量子股份有限公司","主板","19990128"
"600168.SH","600168","武汉控股","湖北","水务","武汉三镇实业控股股份有限公司","主板","19980427"
"600169.SH","600169","太原重工","山西","工程机械","太原重工股份有限公司","主板","19980904"
"600170.SH","600170","上海建工","上海","建筑工程","上海建工集团股份有限公司","主板","19980623"
"600171.SH","600171","上海贝岭","上海","半导体","上海贝岭股份有限公司","主板","19980924"
"600172.SH","600172","黄河旋风","河南","矿物制品","河南黄河旋风股份有限公司","主板","19981126"
"600173.SH","600173","卧龙地产","浙江","全国地产","卧龙地产集团股份有限公司","主板","19990415"
"600176.SH","600176","中国巨石","浙江","玻璃","中国巨石股份有限公司","主板","19990422"
"600177.SH","600177","雅戈尔","浙江","服饰","雅戈尔集团股份有限公司","主板","19981119"
"600178.SH","600178","东安动力","黑龙江","汽车配件","哈尔滨东安汽车动力股份有限公司","主板","19981014"
"600179.SH","600179","安通控股","黑龙江","仓储物流","安通控股股份有限公司","主板","19981104"
"600180.SH","600180","瑞茂通","山东","仓储物流","瑞茂通供应链管理股份有限公司","主板","19980703"
"600182.SH","600182","SST佳通","黑龙江","汽车配件","佳通轮胎股份有限公司","主板","19990507"
"600183.SH","600183","生益科技","广东","元器件","广东生益科技股份有限公司","主板","19981028"
"600184.SH","600184","光电股份","湖北","专用机械","北方光电股份有限公司","主板","20031106"
"600185.SH","600185","格力地产","广东","区域地产","格力地产股份有限公司","主板","19990611"
"600186.SH","600186","莲花健康","河南","食品","莲花健康产业集团股份有限公司","主板","19980825"
"600187.SH","600187","国中水务","黑龙江","水务","黑龙江国中水务股份有限公司","主板","19981111"
"600188.SH","600188","兖矿能源","山东","煤炭开采","兖矿能源集团股份有限公司","主板","19980701"
"600189.SH","600189","泉阳泉","吉林","软饮料","吉林泉阳泉股份有限公司","主板","19981007"
"600190.SH","600190","锦州港","辽宁","港口","锦州港股份有限公司","主板","19990609"
"600191.SH","600191","*ST华资","内蒙","食品","包头华资实业股份有限公司","主板","19981210"
"600192.SH","600192","长城电工","甘肃","电气设备","兰州长城电工股份有限公司","主板","19981224"
"600193.SH","600193","创兴资源","上海","装修装饰","上海创兴资源开发股份有限公司","主板","19990527"
"600195.SH","600195","中牧股份","北京","农业综合","中牧实业股份有限公司","主板","19990107"
"600196.SH","600196","复星医药","上海","化学制药","上海复星医药(集团)股份有限公司","主板","19980807"
"600197.SH","600197","伊力特","新疆","白酒","新疆伊力特实业股份有限公司","主板","19990916"
"600198.SH","600198","大唐电信","北京","通信设备","大唐电信科技股份有限公司","主板","19981021"
"600199.SH","600199","金种子酒","安徽","白酒","安徽金种子酒业股份有限公司","主板","19980812"
"600200.SH","600200","江苏吴中","江苏","化学制药","江苏吴中医药发展股份有限公司","主板","19990401"
"600201.SH","600201","生物股份","内蒙","农业综合","金宇生物技术股份有限公司","主板","19990115"
"600202.SH","600202","哈空调","黑龙江","电气设备","哈尔滨空调股份有限公司","主板","19990603"
"600203.SH","600203","福日电子","福建","元器件","福建福日电子股份有限公司","主板","19990514"
"600206.SH","600206","有研新材","北京","半导体","有研新材料股份有限公司","主板","19990319"
"600207.SH","600207","安彩高科","河南","供气供热","河南安彩高科股份有限公司","主板","19990714"
"600208.SH","600208","新湖中宝","浙江","全国地产","新湖中宝股份有限公司","主板","19990623"
"600209.SH","600209","*ST罗顿","海南","装修装饰","罗顿发展股份有限公司","主板","19990325"
"600210.SH","600210","紫江企业","上海","广告包装","上海紫江企业集团股份有限公司","主板","19990824"
"600211.SH","600211","西藏药业","西藏","中成药","西藏诺迪康药业股份有限公司","主板","19990721"
"600212.SH","600212","江泉实业","山东","综合类","山东江泉实业股份有限公司","主板","19990817"
